participant,group,skewed_score,before,after
1,A,11.1,24.8,21.3
2,B,19.0,22.4,20.1
3,C,15.2,20.9,21.3
4,A,30.6,23.1,20.8
5,B,18.5,20.8,18.9
6,C,17.0,20.5,16.2
7,A,19.0,25.4,18.4
8,B,14.9,22.8,19.4
9,C,18.7,26.5,23.6
10,A,16.6,23.2,21.7
11,B,11.9,24.3,21.4
12,C,20.9,21.7,20.4
13,A,18.2,21.7,15.8
14,B,26.3,20.3,19.4
15,C,17.3,26.5,23.1
16,A,12.7,26.1,25.3
17,B,11.8,26.0,22.7
18,C,19.6,24.5,20.1
19,A,10.3,25.8,21.4
20,B,16.7,21.1,19.8
21,C,21.7,22.8,19.6
22,A,9.5,22.4,16.6
23,B,13.2,29.9,28.3
24,C,18.0,29.2,27.8
25,A,8.5,24.6,19.5
26,B,11.8,23.1,19.0
27,C,24.5,25.0,18.7
28,A,11.6,20.5,17.6
29,B,12.2,26.2,24.7
30,C,23.1,23.2,19.3
31,A,8.5,21.5,15.8
32,B,18.8,26.9,24.8
33,C,32.9,24.1,21.0
34,A,18.5,26.1,21.6
35,B,12.5,33.6,31.2
36,C,15.7,20.7,19.2
37,A,9.9,24.9,24.6
38,B,20.9,21.2,16.8
39,C,19.0,20.5,17.3
40,A,8.9,31.4,29.9
41,B,16.9,25.1,22.3
42,C,23.7,20.1,18.3
43,A,13.1,23.4,19.8
44,B,16.6,22.8,18.1
45,C,16.7,32.6,30.2
