participant,item1,item2,item3,item4,item5,item6,item7,item8
1,3,3,1,1,3,1,2,2
2,3,4,3,4,3,4,3,4
3,3,2,3,4,3,3,3,3
4,3,4,3,3,3,2,3,3
5,4,5,4,3,3,3,3,4
6,3,3,4,4,2,3,2,2
7,4,4,3,4,2,4,4,3
8,5,4,4,4,4,3,5,5
9,3,5,5,4,3,3,4,3
10,4,2,4,4,2,2,3,2
11,1,3,4,2,3,2,3,3
12,5,4,5,4,4,5,4,5
13,3,4,4,3,4,3,3,5
14,4,4,2,3,3,2,2,3
15,4,3,3,3,3,3,3,3
16,2,2,2,3,2,3,1,2
17,4,2,3,4,3,3,4,3
18,4,4,3,3,4,3,3,3
19,3,4,3,3,4,4,4,4
20,3,2,4,3,3,3,2,2
21,3,3,2,3,3,3,3,2
22,4,3,3,3,3,2,4,4
23,2,3,3,3,3,2,2,3
24,4,3,4,3,4,3,3,3
25,3,1,1,2,2,2,3,2
26,2,2,2,1,3,2,2,2
27,4,4,4,5,5,4,3,5
28,2,2,3,2,1,2,2,2
29,2,2,2,2,3,1,1,2
30,4,5,4,3,3,4,3,5
31,3,3,2,2,2,2,3,2
32,2,2,1,1,1,2,3,3
33,2,3,3,2,2,4,3,2
34,3,2,3,2,3,4,4,3
35,2,3,2,3,1,2,3,1
36,3,4,4,4,2,3,4,4
37,2,2,2,2,2,3,3,2
38,3,3,3,2,3,2,2,2
39,4,5,4,3,3,4,3,3
40,3,2,3,3,1,3,2,4
41,1,3,1,2,3,2,1,2
42,4,3,5,2,3,2,4,3
43,3,3,2,5,4,3,4,4
44,3,3,4,4,4,3,4,5
45,4,4,4,5,4,4,3,4
46,3,4,3,3,4,5,4,4
47,3,2,2,3,2,3,2,2
48,4,3,5,4,3,4,4,5
49,2,2,2,2,2,2,1,1
50,1,1,1,2,2,2,2,3
51,3,1,3,2,3,3,3,4
52,3,1,2,3,3,2,3,2
53,1,4,2,2,4,3,3,2
54,3,3,4,2,4,4,5,4
55,1,1,2,2,1,1,2,2
56,4,5,5,5,5,5,4,3
57,4,4,3,3,4,3,4,4
58,2,3,4,3,4,4,1,2
59,3,3,3,3,2,2,2,2
60,3,2,3,4,4,3,3,3
61,3,4,5,5,3,4,4,3
62,3,3,5,4,4,4,4,4
63,2,3,2,3,2,4,3,3
64,3,2,2,3,3,3,2,3
65,2,3,3,3,3,3,3,2
66,1,4,2,2,2,2,2,1
67,1,2,2,2,2,2,3,2
68,2,4,3,3,3,3,3,3
69,5,4,3,3,4,4,4,3
70,4,3,4,2,3,4,3,4
71,2,4,3,2,4,2,2,4
72,2,1,1,1,2,1,1,2
73,2,3,3,3,2,3,3,3
74,3,2,2,3,2,4,3,2
75,3,4,4,3,3,3,3,3
76,3,3,3,3,3,3,3,3
77,3,3,2,2,3,2,3,3
78,3,4,3,2,4,2,4,4
79,3,4,3,2,3,3,2,3
80,3,4,2,2,3,3,3,3
