participant,group,time,age,score
1,Control,Pre,24,54.4
1,Control,Mid,24,54.5
1,Control,Post,24,58.2
2,Control,Pre,47,53.0
2,Control,Mid,47,52.7
2,Control,Post,47,52.4
3,Control,Pre,30,52.9
3,Control,Mid,30,57.3
3,Control,Post,30,57.4
4,Control,Pre,40,50.0
4,Control,Mid,40,56.6
4,Control,Post,40,55.5
5,Control,Pre,19,69.0
5,Control,Mid,19,69.5
5,Control,Post,19,74.2
6,Control,Pre,34,62.3
6,Control,Mid,34,61.3
6,Control,Post,34,68.9
7,Control,Pre,45,48.6
7,Control,Mid,45,50.0
7,Control,Post,45,56.3
8,Control,Pre,34,60.8
8,Control,Mid,34,58.0
8,Control,Post,34,63.6
9,Control,Pre,30,54.4
9,Control,Mid,30,54.7
9,Control,Post,30,56.0
10,Control,Pre,38,52.6
10,Control,Mid,38,57.9
10,Control,Post,38,56.1
11,Control,Pre,44,54.6
11,Control,Mid,44,52.0
11,Control,Post,44,54.9
12,Control,Pre,42,45.8
12,Control,Mid,42,50.8
12,Control,Post,42,52.9
13,Control,Pre,18,55.3
13,Control,Mid,18,56.6
13,Control,Post,18,54.8
14,Control,Pre,38,50.3
14,Control,Mid,38,52.3
14,Control,Post,38,56.3
15,Control,Pre,28,51.2
15,Control,Mid,28,53.1
15,Control,Post,28,54.0
16,Treatment,Pre,23,55.0
16,Treatment,Mid,23,64.7
16,Treatment,Post,23,71.0
17,Treatment,Pre,30,56.5
17,Treatment,Mid,30,66.1
17,Treatment,Post,30,69.6
18,Treatment,Pre,22,46.3
18,Treatment,Mid,22,48.7
18,Treatment,Post,22,57.3
19,Treatment,Pre,42,51.3
19,Treatment,Mid,42,58.1
19,Treatment,Post,42,65.1
20,Treatment,Pre,24,54.0
20,Treatment,Mid,24,63.8
20,Treatment,Post,24,66.3
21,Treatment,Pre,47,59.1
21,Treatment,Mid,47,67.1
21,Treatment,Post,47,70.5
22,Treatment,Pre,47,41.7
22,Treatment,Mid,47,50.0
22,Treatment,Post,47,58.5
23,Treatment,Pre,46,46.6
23,Treatment,Mid,46,51.6
23,Treatment,Post,46,62.8
24,Treatment,Pre,46,59.3
24,Treatment,Mid,46,66.8
24,Treatment,Post,46,75.9
25,Treatment,Pre,33,55.6
25,Treatment,Mid,33,64.6
25,Treatment,Post,33,68.5
26,Treatment,Pre,33,55.6
26,Treatment,Mid,33,61.3
26,Treatment,Post,33,70.5
27,Treatment,Pre,38,56.0
27,Treatment,Mid,38,64.9
27,Treatment,Post,38,72.4
28,Treatment,Pre,27,53.7
28,Treatment,Mid,27,59.1
28,Treatment,Post,27,70.1
29,Treatment,Pre,44,65.4
29,Treatment,Mid,44,67.7
29,Treatment,Post,44,80.3
30,Treatment,Pre,19,57.2
30,Treatment,Mid,19,67.1
30,Treatment,Post,19,74.5
